ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,Latitude,Longitude
3424,osler-bluff-ski-club,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/osler-bluff-ski-club/,517,5,7,9,70.8,0,48.67,Canadian Dollar,2.4,2.7,3.8,44.4619499,-80.2808412
3707,powderhorn,North America,USA,Colorado,http://www.skiresort.info/ski-resort/powderhorn/,3000,5,15,18,71,60,35,US Dollar,2.9,3.2,3.6,38.2769386,-107.0958841
918,crystal-mountain-mi,North America,USA,Michigan,http://www.skiresort.info/ski-resort/crystal-mountain-mi/,359,1.2,2.3,1.4,72,0,62,US Dollar,1.5,1.8,3.3,44.5194286,-85.9909959
4644,sugar-mountain,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/sugar-mountain/,1589,4,7,3,72,0,49,US Dollar,2.2,2.5,3.7,36.127349,-81.8601122
596,bristol-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/bristol-mountain/,670,6,10,4,72,0,57,US Dollar,2.4,2.7,3.6,42.7452867,-77.4043108
904,cranmore-mountain-resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cranmore-mountain-resort/,609,16,19,8,72,59,45,US Dollar,2.9,3.2,3.4,44.0568523,-71.0995926
1670,hidden-valley-highlands,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/hidden-valley-highlands/,380,1.8,0.7,0.5,73,64,53,Canadian Dollar,1.5,1.8,3,45.356103,-79.129683
3846,red-river,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/red-river/,3135,7,6,7,73,67,57,US Dollar,2.4,2.8,3,36.7080849,-105.4061159
168,angel-fire,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/angel-fire/,3256,40,28,7,73,63,53,US Dollar,3.7,3.9,3.9,36.3930879,-105.2850091
3054,mountain-high-north,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-north/,2287,2,3,0,74,0,35,US Dollar,1.7,1.7,3,34.3769418,-117.6915242
